Network,hostname,IP,OpenPorts,location,publishername,offer,skus,size
C2andRpt,DC1,151.199.42.101,"53,88,135,139,389,445,464,593,636,3268,3269",EastUS,MicrosoftWindowsServer,WindowsServer,2019-Datacenter-core,Standard_B2S
C2andRpt,WS2,151.199.42.31,"135,139,445",EastUS,MicrosoftWindowsDesktop,windows-7,win7-enterprise,Standard_B2S
C2andRpt,WS4,151.199.42.77,"135,139,445,3389,4445",EastUS,MicrosoftWindowsDesktop,windows-10,19h2-pro-g2,Standard_B2S
C2andRpt,WS3,151.199.42.126,"135,139,445,3389,4445",EastUS,MicrosoftWindowsDesktop,windows-10,19h2-pro-g2,Standard_B2S
C2andRpt,WS5,151.199.42.241,"135,139,445,3389,4445",EastUS,MicrosoftWindowsDesktop,windows-10,19h2-pro-g2,Standard_B2S
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,10,,,
